Brand,Series,Weight,Display Size,Pixel Density,Display Touchscreen,Graphic Processor,RAM Capacity,RAM Type,SSD Capacity,OS,Processor_Brand,Price (Rs),Processor_Series,Graphics Memory
HP,spectre,2.01,16.0,226.0,1,intel iris xe,16,ddr4,512,win 11,intel,143490.0,i7,0
Dell,vostro,1.91,16.0,138.0,0,nvidia geforce mx570,16,ddr4,512,win 11,intel,91999.0,i7,2
Asus,rog,2.48,15.6,141.0,0,nvidia geforce rtx 2080 super with max-q design,32,ddr4,2024,win 10,intel,349990.0,i9,8
HP,spectre,2.01,16.0,283.0,1,intel arc a370m,16,ddr4,1024,win 11,intel,133560.0,i7,4
Dell,g7,2.5,15.6,141.0,0,nvidia geforce gtx 1660,16,ddr4,512,win 10,intel,122999.0,i7,6
Lenovo,ideapad,1.5,14.0,162.0,1,intel uhd,16,lpddr5x,512,win 11,intel,84690.0,i7,0
MSI,stealth,1.88,16.0,283.0,0,nvidia geforce rtx 4060,32,ddr5,1024,win 11,intel,249990.0,i9,8
Asus,vivobook,1.7,15.6,141.0,0,intel iris xe,16,ddr4,512,win 11,intel,49699.0,i5,0
Asus,vivobook,1.42,15.6,212.0,0,qualcomm adreno gpu,16,lpddr5x,1024,win 11,qualcomm,79990.0,snapdragon,0
Asus,tuf,1.46,14.0,216.0,0,nvidia geforce rtx 4060,32,lpddr5x,2024,win 11,amd,164990.0,ryzen 9,8
Asus,rog,2.5,18.0,126.0,0,nvidia geforce rtx 4080,32,ddr5,1024,win 11,intel,269990.0,i9,12
HP,250,1.47,15.6,100.0,0,intel iris xe,8,ddr4,512,win 11,intel,50490.0,i5,0
HP,spectre,1.36,13.5,267.0,1,intel iris xe,16,lpddr4x,1024,win 11,intel,124990.0,i7,0
Asus,rog,2.5,16.0,189.0,0,nvidia geforce rtx 4080,32,ddr5,1024,win 11,intel,279990.0,i9,12
Asus,tuf,2.2,16.0,142.0,0,amd radeon rx 7600s,16,ddr5,1024,win 11,amd,89990.0,octa core,8
MSI,pulse,2.7,17.3,127.0,0,nvidia geforce rtx 4070,16,ddr5,1024,win 11,intel,157999.0,i9,8
Asus,rog,1.9,15.6,188.0,0,nvidia geforce rtx 3080,16,ddr5,1024,win 11,amd,189183.0,octa core,8
Asus,zenbook,1.75,14.5,234.0,1,intel iris xe,16,lpddr5,1024,win 11,intel,164694.0,i7,4
Asus,expertbook,1.5,14.0,157.0,0,intel uhd,8,ddr4,512,dos,intel,39990.0,i5,0
Asus,rog,2.9,17.3,170.0,0,nvidia geforce rtx 3080,16,ddr5,1024,win 11,amd,210990.0,octa core,8
Asus,rog,2.3,15.6,188.0,0,nvidia geforce rtx 3080 ti,32,ddr5,1024,win 11,intel,166220.0,i9,16
Coconics,xtreme,1.1,14.0,157.0,0,intel uhd,8,ddr4,512,win 10,intel,80920.0,i7,0
Asus,rog,2.0,16.0,189.0,1,amd radeon 680m,16,ddr5,1024,win 11,amd,159990.0,octa core,6
Asus,rog,2.1,15.6,141.0,0,nvidia geforce gtx 1650,8,ddr4,512,win 10,amd,80500.0,octa core,4
MSI,Prestige,1.29,14.0,157.0,0,nvidia geforce mx330,16,ddr4,512,win 10,intel,74890.0,i7,2
Acer,aspire,2.4,15.6,282.0,0,nvidia geforce gtx 960,12,ddr4,512,win 10,intel,99500.0,i7,4
